Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P30612_119_S350_trimmed_R2.PwU.qtrim	86.36230238996744	51.0	143.519470863305	27.27272727272727	91181807.0
P30612_120_S351_trimmed_R1.PwU.qtrim	81.25532962540544	52.0	145.23437833430916	18.181818181818183	100672091.0
P30612_120_S351_trimmed_R2.PwU.qtrim	84.8088006561688	52.0	145.42194553205417	27.27272727272727	100672091.0
P30612_121_S352_trimmed_R1.PwU.qtrim	80.1017912038418	52.0	145.06097363833646	18.181818181818183	93240967.0
P30612_121_S352_trimmed_R2.PwU.qtrim	83.75448529054393	53.0	145.3188710601854	27.27272727272727	93240967.0
P30612_122_S353_trimmed_R1.PwU.qtrim	79.8088578166973	52.0	146.36747746720323	18.181818181818183	96672975.0
P30612_122_S353_trimmed_R2.PwU.qtrim	84.38284262013364	53.0	146.48359188284007	27.27272727272727	96672975.0
P30612_123_S354_trimmed_R1.PwU.qtrim	85.18739962628611	53.0	144.21217686334901	18.181818181818183	102059879.0
P30612_123_S354_trimmed_R2.PwU.qtrim	88.05815127038716	53.0	144.42261224903078	27.27272727272727	102059879.0
P30612_124_S355_trimmed_R1.PwU.qtrim	84.01357149813268	53.0	148.21015134480098	18.181818181818183	97993125.0
P30612_124_S355_trimmed_R2.PwU.qtrim	87.77914300491432	53.0	148.26632875520605	27.27272727272727	97993125.0
P30612_125_S356_trimmed_R1.PwU.qtrim	78.53340429008676	51.0	146.38361650480618	18.181818181818183	98235119.0
P30612_125_S356_trimmed_R2.PwU.qtrim	82.830977877853	51.0	146.50520851916514	27.27272727272727	98235119.0
P30612_126_S357_trimmed_R1.PwU.qtrim	79.01860477360063	52.0	145.73044185523062	18.181818181818183	84444423.0
P30612_126_S357_trimmed_R2.PwU.qtrim	83.50750340975532	52.0	145.9067086644668	27.27272727272727	84444423.0
P30612_127_S358_trimmed_R1.PwU.qtrim	78.60441637959319	52.0	147.59525252614787	18.181818181818183	87885097.0
P30612_127_S358_trimmed_R2.PwU.qtrim	83.33575180601952	53.0	147.6849279008021	27.27272727272727	87885097.0
P30612_128_S359_trimmed_R1.PwU.qtrim	80.62409575931363	52.0	146.21576837214047	18.181818181818183	92460933.0
P30612_128_S359_trimmed_R2.PwU.qtrim	84.73679039019682	53.0	146.3599531815237	27.27272727272727	92460933.0
P30612_129_S360_trimmed_R1.PwU.qtrim	79.05457554623254	52.0	146.9791715118102	18.181818181818183	95043624.0
P30612_129_S360_trimmed_R2.PwU.qtrim	84.00186656798452	52.0	147.11068486824536	27.27272727272727	95043624.0
P30612_130_S361_trimmed_R1.PwU.qtrim	85.38846261045005	53.0	147.9953403200077	18.181818181818183	97987201.0
P30612_130_S361_trimmed_R2.PwU.qtrim	89.01584465813878	53.0	148.07553057873344	27.27272727272727	97987201.0
P30612_131_S362_trimmed_R1.PwU.qtrim	80.58391142001148	50.0	145.35052417157132	18.181818181818183	90457214.0
P30612_131_S362_trimmed_R2.PwU.qtrim	84.79626676604721	51.0	145.51921565923973	27.27272727272727	90457214.0
P30612_132_S363_trimmed_R1.PwU.qtrim	81.73170159703565	51.0	146.27760355240096	18.181818181818183	84747190.0
P30612_132_S363_trimmed_R2.PwU.qtrim	85.28907891289491	52.0	146.4528367489235	27.27272727272727	84747190.0
P30612_133_S364_trimmed_R1.PwU.qtrim	82.74452665592824	52.0	143.49794920084162	18.181818181818183	90734141.0
P30612_133_S364_trimmed_R2.PwU.qtrim	86.65044108481591	53.0	143.7484875731617	27.27272727272727	90734141.0
P30612_134_S365_trimmed_R1.PwU.qtrim	79.45531621682977	52.0	148.44760109738272	18.181818181818183	89791098.0
P30612_134_S365_trimmed_R2.PwU.qtrim	83.28204265706493	53.0	148.4969429152097	27.27272727272727	89791098.0
P30612_135_S366_trimmed_R1.PwU.qtrim	86.51918796333028	52.0	146.56285668530444	18.181818181818183	99348430.0
P30612_135_S366_trimmed_R2.PwU.qtrim	90.28437333918059	53.0	146.67213323854236	27.27272727272727	99348430.0
P30612_136_S367_trimmed_R1.PwU.qtrim	88.62655780313163	53.0	144.60745669187753	18.181818181818183	79237792.0
P30612_136_S367_trimmed_R2.PwU.qtrim	92.19208098462384	53.0	144.8328722233956	27.27272727272727	79237792.0
